mgi_symbol	gene_id	gene_name
1810013L24Rik	ENSMUSG00000022507	C16orf72
1810020O05Rik	ENSMUSG00000089997	CFAP92
1810030O07Rik	ENSMUSG00000044148	CXorf38
1810037I17Rik	ENSMUSG00000054091	C4orf3
1810046K07Rik	ENSMUSG00000036027	C11orf53
1810055G02Rik	ENSMUSG00000035372	C11orf24
1810058I24Rik	ENSMUSG00000073155	STMP1
2010003K11Rik	ENSMUSG00000042041	C11orf86
2200002D01Rik	ENSMUSG00000030587	C19orf33
2210016F16Rik	ENSMUSG00000021550	C9orf64
2210016L21Rik	ENSMUSG00000029559	C12orf43
2210408I21Rik	ENSMUSG00000071252	KIAA0825
2300002M23Rik	ENSMUSG00000039269	C6orf15
2300009A05Rik	ENSMUSG00000032403	C15orf61
2310009B15Rik	ENSMUSG00000079283	C1orf53
2310011J03Rik	ENSMUSG00000020133	C19orf25
2310022A10Rik	ENSMUSG00000049643	C19orf47
2310022B05Rik	ENSMUSG00000031983	C1orf198
2310030G06Rik	ENSMUSG00000032062	C11orf52
2310033P09Rik	ENSMUSG00000020441	C1orf35
2310034G01Rik	ENSMUSG00000099655	C10orf95
2310039H08Rik	ENSMUSG00000062619	C6orf226
2310050C09Rik	ENSMUSG00000090314	C1orf68
2310057J18Rik	ENSMUSG00000015519	C6orf58
2310057M21Rik	ENSMUSG00000040177	C10orf88
2310061I04Rik	ENSMUSG00000050705	C6orf136
2410004B18Rik	ENSMUSG00000036873	C1orf52
2510002D24Rik	ENSMUSG00000071632	C22orf39
2510009E07Rik	ENSMUSG00000043391	C3orf70
2510039O18Rik	ENSMUSG00000044496	KIAA2013
2610001J05Rik	ENSMUSG00000052419	SMIM30
2610021A01Rik	ENSMUSG00000091474	ZNF519
2610028H24Rik	ENSMUSG00000009114	C21orf58
2610301B20Rik	ENSMUSG00000059482	CFAP418
2610507B11Rik	ENSMUSG00000010277	KIAA0100
2610528A11Rik	ENSMUSG00000096001	C10orf99
2610528J11Rik	ENSMUSG00000028536	C1orf210
2700049A03Rik	ENSMUSG00000034601	KIAA0586
2700062C07Rik	ENSMUSG00000024273	C18orf21
2810004N23Rik	ENSMUSG00000031984	C1orf131
2810459M11Rik	ENSMUSG00000026227	C2orf72
2900026A02Rik	ENSMUSG00000051339	KIAA1671
2900092C05Rik	ENSMUSG00000030385	C19orf18
3110040N11Rik	ENSMUSG00000025102	C15orf40
3110082I17Rik	ENSMUSG00000053553	C7orf50
3425401B19Rik	ENSMUSG00000071540	C10orf71
3830403N18Rik	ENSMUSG00000031125	SYCP3
3830406C13Rik	ENSMUSG00000033111	C3orf14
4833420G17Rik	ENSMUSG00000062822	C5orf34
4833439L19Rik	ENSMUSG00000025871	KIAA1191
4921504E06Rik	ENSMUSG00000026734	C10orf67
4921507P07Rik	ENSMUSG00000029828	C7orf31
4921524J17Rik	ENSMUSG00000036934	C16orf87
4921536K21Rik	ENSMUSG00000020434	C5orf52
4921539E11Rik	ENSMUSG00000028520	C1orf141
4930404N11Rik	ENSMUSG00000020234	C19orf71
4930415L06Rik	ENSMUSG00000035387	PPP4R3C
4930430F08Rik	ENSMUSG00000046567	C12orf29
4930433I11Rik	ENSMUSG00000091692	C2orf78
4930444P10Rik	ENSMUSG00000067795	C8orf89
4930447C04Rik	ENSMUSG00000021098	C14orf39
4930451I11Rik	ENSMUSG00000045989	C16orf92
4930453N24Rik	ENSMUSG00000059920	C3orf38
4930467E23Rik	ENSMUSG00000096265	POTEA
4930503L19Rik	ENSMUSG00000044906	C18orf54
4930505A04Rik	ENSMUSG00000040919	C2orf73
4930522H14Rik	ENSMUSG00000060491	C1orf185
4930523C07Rik	ENSMUSG00000090394	KIAA0040
4930524B15Rik	ENSMUSG00000020299	C5orf47
4930544D05Rik	ENSMUSG00000087279	C17orf107
4930550C14Rik	ENSMUSG00000005131	C11orf65
4930558C23Rik	ENSMUSG00000105734	CTXND2
4930558K02Rik	ENSMUSG00000086277	C1orf105
4930562C15Rik	ENSMUSG00000022518	C16orf96
4930563E22Rik	ENSMUSG00000053574	C17orf100
4930578I06Rik	ENSMUSG00000021961	C8orf74
4930579F01Rik	ENSMUSG00000012042	C4orf17
4930579G24Rik	ENSMUSG00000027811	C4orf46
4930590J08Rik	ENSMUSG00000034063	C3orf20
4931406B18Rik	ENSMUSG00000013353	SIGLECL1
4931406C07Rik	ENSMUSG00000031938	C11orf54
4931414P19Rik	ENSMUSG00000022179	C14orf93
4931417E11Rik	ENSMUSG00000056197	JKAMP
4931428F04Rik	ENSMUSG00000014837	KIAA0895L
4931428L18Rik	ENSMUSG00000086727	ALYREF
4932411N23Rik	ENSMUSG00000058670	DMTF1
4932414N04Rik	ENSMUSG00000079324	ANKRD62
4932415D10Rik	ENSMUSG00000044581	C2orf16
4932429P05Rik	ENSMUSG00000079513	PPP4R3C
4932438A13Rik	ENSMUSG00000037270	KIAA1109
4932438H23Rik	ENSMUSG00000039851	C21orf62
4933400A11Rik	ENSMUSG00000055357	CAPZA1
4933402J07Rik	ENSMUSG00000069971	C16orf78
4933402N03Rik	ENSMUSG00000013668	C10orf120
4933405L10Rik	ENSMUSG00000013158	C16orf86
4933411K16Rik	ENSMUSG00000090369	C10orf62
4933412E24Rik	ENSMUSG00000071749	CXorf49
4933412E24Rik	ENSMUSG00000071749	CXorf49B
4933424G06Rik	ENSMUSG00000102416	C2orf92
4933427D14Rik	ENSMUSG00000020807	KIAA0753
4933430I17Rik	ENSMUSG00000058046	C9orf43
4933434E20Rik	ENSMUSG00000027942	C1orf43
5031439G07Rik	ENSMUSG00000036046	KIAA0930
5730409E04Rik	ENSMUSG00000073755	C1orf216
5730455P16Rik	ENSMUSG00000057181	C17orf75
5730480H06Rik	ENSMUSG00000029089	PACRGL
6030458C11Rik	ENSMUSG00000022195	C5orf22
6030468B19Rik	ENSMUSG00000025573	C17orf99
6430548M08Rik	ENSMUSG00000031824	KIAA0513
6430550D23Rik	ENSMUSG00000074646	C20orf173
6430571L13Rik	ENSMUSG00000037977	C3orf18
6430628N08Rik	ENSMUSG00000034185	TMEM275
6820408C15Rik	ENSMUSG00000032680	C20orf96
7420426K07Rik	ENSMUSG00000074123	PRR23B
7420426K07Rik	ENSMUSG00000074123	PRR23A
7420426K07Rik	ENSMUSG00000074123	PRR23C
8030462N17Rik	ENSMUSG00000047466	C18orf25
8030474K03Rik	ENSMUSG00000046774	CXorf49B
8030474K03Rik	ENSMUSG00000046774	CXorf49
9030025P20Rik	ENSMUSG00000116953	ERMARD
9130008F23Rik	ENSMUSG00000054951	C6orf141
9130401M01Rik	ENSMUSG00000101892	ZHX1-C8orf76
9130401M01Rik	ENSMUSG00000101892	C8orf76
9130409I23Rik	ENSMUSG00000038768	DEGS1
9330159F19Rik	ENSMUSG00000004360	KIAA0408
9430015G10Rik	ENSMUSG00000059939	C1orf159
9430038I01Rik	ENSMUSG00000040139	C10orf143
9530003J23Rik	ENSMUSG00000020177	LYZ
9530068E07Rik	ENSMUSG00000036275	C5orf15
9530077C05Rik	ENSMUSG00000036411	KIAA0895
9930012K11Rik	ENSMUSG00000044551	C8orf58
9930021J03Rik	ENSMUSG00000046138	KIAA2026
9930104L06Rik	ENSMUSG00000044730	C1orf109
a	ENSMUSG00000027596	ASIP
A130010J15Rik	ENSMUSG00000079144	C1orf74
A1bg	ENSMUSG00000022347	A1BG
A1cf	ENSMUSG00000052595	A1CF
A26c2	ENSMUSG00000109344	POTEA
A26c3	ENSMUSG00000027157	POTEA
A2m	ENSMUSG00000030111	A2M
A3galt2	ENSMUSG00000028794	A3GALT2
A430005L14Rik	ENSMUSG00000047613	C1orf174
A4galt	ENSMUSG00000047878	A4GALT
A4gnt	ENSMUSG00000037953	A4GNT
A530016L24Rik	ENSMUSG00000043122	C14orf180
A730046J19Rik	ENSMUSG00000085139	SERTM2
A830018L16Rik	ENSMUSG00000057715	C8orf34
A930017K11Rik	ENSMUSG00000025727	PRR35
A930018P22Rik	ENSMUSG00000032671	C11orf91
AA467197	ENSMUSG00000033213	C15orf48
AA792892	ENSMUSG00000073497	PRAMEF12
AA792892	ENSMUSG00000073497	PRAMEF8
AA792892	ENSMUSG00000073497	PRAMEF19
AA792892	ENSMUSG00000073497	PRAMEF27
AA792892	ENSMUSG00000073497	PRAMEF4
AA792892	ENSMUSG00000073497	PRAMEF6
AA792892	ENSMUSG00000073497	PRAMEF14
AA792892	ENSMUSG00000073497	PRAMEF1
AA792892	ENSMUSG00000073497	PRAMEF10
AA792892	ENSMUSG00000073497	PRAMEF2
AA792892	ENSMUSG00000073497	PRAMEF17
AA792892	ENSMUSG00000073497	PRAMEF15
AA792892	ENSMUSG00000073497	PRAMEF26
AA792892	ENSMUSG00000073497	PRAMEF33
AA792892	ENSMUSG00000073497	PRAMEF20
AA792892	ENSMUSG00000073497	PRAMEF7
AA792892	ENSMUSG00000073497	PRAMEF5
AA792892	ENSMUSG00000073497	PRAMEF18
AA792892	ENSMUSG00000073497	PRAMEF25
AA792892	ENSMUSG00000073497	PRAMEF13
AA792892	ENSMUSG00000073497	PRAMEF11
AA792892	ENSMUSG00000073497	PRAMEF9
AA986860	ENSMUSG00000042510	C1orf116
Aaas	ENSMUSG00000036678	AAAS
Aacs	ENSMUSG00000029482	AACS
Aadac	ENSMUSG00000027761	AADAC
Aadacl2	ENSMUSG00000091376	AADACL2
Aadacl3	ENSMUSG00000078507	AADACL3
Aadacl4	ENSMUSG00000070609	AADACL4
Aadacl4fm1	ENSMUSG00000028593	AADACL4
AAdacl4fm3	ENSMUSG00000041735	AADACL4
Aadacl4fm4	ENSMUSG00000078505	AADACL4
Aadacl4fm5	ENSMUSG00000078504	AADACL4
Aadat	ENSMUSG00000057228	AADAT
Aagab	ENSMUSG00000037257	AAGAB
Aak1	ENSMUSG00000057230	AAK1
Aamdc	ENSMUSG00000035642	AAMDC
Aamp	ENSMUSG00000006299	AAMP
Aanat	ENSMUSG00000020804	AANAT
Aar2	ENSMUSG00000027628	AAR2
Aard	ENSMUSG00000068522	AARD
Aars	ENSMUSG00000031960	AARS1
Aars2	ENSMUSG00000023938	AARS2
Aarsd1	ENSMUSG00000075528	AARSD1
Aarsd1	ENSMUSG00000075528	PTGES3L-AARSD1
Aasdh	ENSMUSG00000055923	AASDH
Aasdhppt	ENSMUSG00000025894	AASDHPPT
Aass	ENSMUSG00000029695	AASS
Aatf	ENSMUSG00000018697	AATF
Aatk	ENSMUSG00000025375	AATK
AB124611	ENSMUSG00000057191	C19orf38
Abat	ENSMUSG00000057880	ABAT
Abca1	ENSMUSG00000015243	ABCA1
Abca12	ENSMUSG00000050296	ABCA12
Abca13	ENSMUSG00000004668	ABCA13
Abca2	ENSMUSG00000026944	ABCA2
Abca3	ENSMUSG00000024130	ABCA3
Abca4	ENSMUSG00000028125	ABCA4
Abca5	ENSMUSG00000018800	ABCA5
Abca6	ENSMUSG00000044749	ABCA6
Abca7	ENSMUSG00000035722	ABCA7
Abca8b	ENSMUSG00000020620	ABCA8
Abca9	ENSMUSG00000041797	ABCA9
Abcb10	ENSMUSG00000031974	ABCB10
Abcb11	ENSMUSG00000027048	ABCB11
Abcb1a	ENSMUSG00000040584	ABCB1
Abcb1b	ENSMUSG00000028970	ABCB1
Abcb4	ENSMUSG00000042476	ABCB4
Abcb5	ENSMUSG00000072791	ABCB5
Abcb6	ENSMUSG00000026198	ABCB6
Abcb7	ENSMUSG00000031333	ABCB7
Abcb8	ENSMUSG00000028973	ABCB8
Abcb9	ENSMUSG00000029408	ABCB9
Abcc1	ENSMUSG00000023088	ABCC1
Abcc10	ENSMUSG00000032842	ABCC10
Abcc12	ENSMUSG00000036872	ABCC12
Abcc2	ENSMUSG00000025194	ABCC2
Abcc3	ENSMUSG00000020865	ABCC3
Abcc4	ENSMUSG00000032849	ABCC4
Abcc5	ENSMUSG00000022822	ABCC5
Abcc6	ENSMUSG00000030834	ABCC6
Abcc8	ENSMUSG00000040136	ABCC8
Abcc9	ENSMUSG00000030249	ABCC9
Abcd1	ENSMUSG00000031378	ABCD1
Abcd2	ENSMUSG00000055782	ABCD2
Abcd3	ENSMUSG00000028127	ABCD3
Abcd4	ENSMUSG00000021240	ABCD4
Abce1	ENSMUSG00000058355	ABCE1
Abcf1	ENSMUSG00000038762	ABCF1
Abcf2	ENSMUSG00000028953	ABCF2-H2BE1
Abcf2	ENSMUSG00000028953	ABCF2
Abcf3	ENSMUSG00000003234	ABCF3
Abcg1	ENSMUSG00000024030	ABCG1
Abcg3	ENSMUSG00000029299	ABCG2
Abcg4	ENSMUSG00000032131	ABCG4
Abcg5	ENSMUSG00000040505	ABCG5
Abcg8	ENSMUSG00000024254	ABCG8
Abhd1	ENSMUSG00000006638	ABHD1
Abhd10	ENSMUSG00000033157	ABHD10
Abhd11	ENSMUSG00000040532	ABHD11
Abhd12	ENSMUSG00000032046	ABHD12
Abhd12b	ENSMUSG00000090121	ABHD12B
Abhd13	ENSMUSG00000040396	ABHD13
Abhd14a	ENSMUSG00000042210	ABHD14A
Abhd14b	ENSMUSG00000042073	ABHD14B
Abhd15	ENSMUSG00000000686	ABHD15
Abhd16a	ENSMUSG00000007036	ABHD16A
Abhd16b	ENSMUSG00000055882	ABHD16B
Abhd17a	ENSMUSG00000003346	ABHD17A
Abhd17b	ENSMUSG00000047368	ABHD17B
Abhd17c	ENSMUSG00000038459	ABHD17C
Abhd18	ENSMUSG00000037818	ABHD18
Abhd2	ENSMUSG00000039202	ABHD2
Abhd3	ENSMUSG00000002475	ABHD3
Abhd4	ENSMUSG00000040997	ABHD4
Abhd5	ENSMUSG00000032540	ABHD5
Abhd6	ENSMUSG00000025277	ABHD6
Abhd8	ENSMUSG00000007950	ABHD8
Abi1	ENSMUSG00000058835	ABI1
Abi2	ENSMUSG00000026782	ABI2
Abi3	ENSMUSG00000018381	ABI3
Abi3bp	ENSMUSG00000035258	ABI3BP
Abitram	ENSMUSG00000038827	ABITRAM
Abl1	ENSMUSG00000026842	ABL1
Abl2	ENSMUSG00000026596	ABL2
Ablim1	ENSMUSG00000025085	ABLIM1
Ablim2	ENSMUSG00000029095	ABLIM2
Ablim3	ENSMUSG00000032735	ABLIM3
Abo	ENSMUSG00000015787	ABO
Abr	ENSMUSG00000017631	ABR
Abra	ENSMUSG00000042895	ABRA
Abracl	ENSMUSG00000078453	ABRACL
Abraxas1	ENSMUSG00000035234	ABRAXAS1
Abraxas2	ENSMUSG00000030965	ABRAXAS2
Abt1	ENSMUSG00000036376	ABT1
Abtb1	ENSMUSG00000030083	ABTB1
Abtb2	ENSMUSG00000032724	ABTB2
Acaa1a	ENSMUSG00000036138	ACAA1
Acaa1b	ENSMUSG00000010651	ACAA1
Acaa2	ENSMUSG00000036880	ACAA2
Acaca	ENSMUSG00000020532	ACACA
Acacb	ENSMUSG00000042010	ACACB
Acad10	ENSMUSG00000029456	ACAD10
Acad11	ENSMUSG00000090150	ACAD11
Acad12	ENSMUSG00000042647	ACAD10
Acad8	ENSMUSG00000031969	ACAD8
Acad9	ENSMUSG00000027710	ACAD9
Acadl	ENSMUSG00000026003	ACADL
Acadm	ENSMUSG00000062908	ACADM
Acads	ENSMUSG00000029545	ACADS
Acadsb	ENSMUSG00000030861	ACADSB
Acadvl	ENSMUSG00000018574	ACADVL
Acan	ENSMUSG00000030607	ACAN
Acap1	ENSMUSG00000001588	ACAP1
Acap2	ENSMUSG00000049076	ACAP2
Acap3	ENSMUSG00000029033	ACAP3
Acat1	ENSMUSG00000032047	ACAT1
Acat2	ENSMUSG00000023832	ACAT2
Acat3	ENSMUSG00000062480	ACAT2
Acbd3	ENSMUSG00000026499	ACBD3
Acbd4	ENSMUSG00000056938	ACBD4
Acbd5	ENSMUSG00000026781	ACBD5
Acbd6	ENSMUSG00000033701	ACBD6
Acbd7	ENSMUSG00000026644	ACBD7
Accs	ENSMUSG00000040272	ACCS
Accsl	ENSMUSG00000075023	ACCSL
Acd	ENSMUSG00000038000	ACD
Ace	ENSMUSG00000020681	ACE
Ace2	ENSMUSG00000015405	ACE2
Acer1	ENSMUSG00000045019	ACER1
Acer2	ENSMUSG00000038007	ACER2
Acer3	ENSMUSG00000030760	ACER3
Ache	ENSMUSG00000023328	ACHE
Acin1	ENSMUSG00000022185	ACIN1
Ackr1	ENSMUSG00000037872	ACKR1
Ackr2	ENSMUSG00000044534	ACKR2
Ackr3	ENSMUSG00000044337	ACKR3
Ackr4	ENSMUSG00000079355	ACKR4
Acly	ENSMUSG00000020917	ACLY
Acmsd	ENSMUSG00000026348	ACMSD
Aco1	ENSMUSG00000028405	ACO1
Aco2	ENSMUSG00000022477	ACO2
Acod1	ENSMUSG00000022126	ACOD1
Acot1	ENSMUSG00000072949	ACOT1
Acot1	ENSMUSG00000072949	ACOT2
Acot10	ENSMUSG00000047565	ACOT9
Acot11	ENSMUSG00000034853	ACOT11
Acot12	ENSMUSG00000021620	ACOT12
Acot13	ENSMUSG00000006717	ACOT13
Acot2	ENSMUSG00000021226	ACOT2
Acot2	ENSMUSG00000021226	ACOT1
Acot3	ENSMUSG00000021228	ACOT2
Acot3	ENSMUSG00000021228	ACOT1
Acot4	ENSMUSG00000052392	ACOT4
Acot5	ENSMUSG00000042540	ACOT2
Acot5	ENSMUSG00000042540	ACOT1
Acot6	ENSMUSG00000043487	ACOT6
Acot7	ENSMUSG00000028937	ACOT7
Acot8	ENSMUSG00000017307	ACOT8
Acot9	ENSMUSG00000025287	ACOT9
Acox1	ENSMUSG00000020777	ACOX1
Acox2	ENSMUSG00000021751	ACOX2
Acox3	ENSMUSG00000029098	ACOX3
Acoxl	ENSMUSG00000027380	ACOXL
Acp1	ENSMUSG00000044573	ACP1
Acp2	ENSMUSG00000002103	ACP2
Acp4	ENSMUSG00000012777	ACP4
Acp5	ENSMUSG00000001348	ACP5
Acp6	ENSMUSG00000028093	ACP6
Acp7	ENSMUSG00000037469	ACP7
Acpp	ENSMUSG00000032561	ACP3
Acr	ENSMUSG00000022622	ACR
Acrbp	ENSMUSG00000072770	ACRBP
Acrv1	ENSMUSG00000032110	ACRV1
Acsbg1	ENSMUSG00000032281	ACSBG1
Acsbg2	ENSMUSG00000024207	ACSBG2
Acsf2	ENSMUSG00000076435	ACSF2
Acsf3	ENSMUSG00000015016	ACSF3
Acsl1	ENSMUSG00000018796	ACSL1
Acsl3	ENSMUSG00000032883	ACSL3
Acsl4	ENSMUSG00000031278	ACSL4
Acsl5	ENSMUSG00000024981	ACSL5
Acsl6	ENSMUSG00000020333	ACSL6
Acsm1	ENSMUSG00000033533	ACSM1
Acsm2	ENSMUSG00000030945	ACSM2A
Acsm2	ENSMUSG00000030945	ACSM2B
Acsm3	ENSMUSG00000030935	ACSM3
Acsm4	ENSMUSG00000047026	ACSM4
Acsm5	ENSMUSG00000030972	ACSM5
Acss1	ENSMUSG00000027452	ACSS1
Acss2	ENSMUSG00000027605	ACSS2
Acss3	ENSMUSG00000035948	ACSS3
Acta1	ENSMUSG00000031972	ACTA1
Acta2	ENSMUSG00000035783	ACTA2
Actb	ENSMUSG00000029580	ACTB
Actbl2	ENSMUSG00000055194	ACTBL2
Actc1	ENSMUSG00000068614	ACTC1
Actg1	ENSMUSG00000062825	ACTG1
Actg2	ENSMUSG00000059430	ACTG2
Actl10	ENSMUSG00000078129	ACTL10
Actl6a	ENSMUSG00000027671	ACTL6A
Actl6b	ENSMUSG00000029712	ACTL6B
Actl7a	ENSMUSG00000070979	ACTL7A
Actl7b	ENSMUSG00000070980	ACTL7B
Actl9	ENSMUSG00000092519	ACTL9
Actn1	ENSMUSG00000015143	ACTN1
Actn2	ENSMUSG00000052374	ACTN2
Actn3	ENSMUSG00000006457	ACTN3
Actn4	ENSMUSG00000054808	ACTN4
Actr10	ENSMUSG00000021076	ACTR10
Actr1a	ENSMUSG00000025228	ACTR1A
Actr1b	ENSMUSG00000037351	ACTR1B
Actr2	ENSMUSG00000020152	ACTR2
Actr3	ENSMUSG00000026341	ACTR3
Actr3b	ENSMUSG00000056367	ACTR3C
Actr3b	ENSMUSG00000056367	ACTR3B
Actr5	ENSMUSG00000037761	ACTR5
Actr6	ENSMUSG00000019948	ACTR6
Actr8	ENSMUSG00000015971	ACTR8
Actrt1	ENSMUSG00000046615	ACTRT1
Actrt2	ENSMUSG00000051276	ACTRT2
Actrt3	ENSMUSG00000037737	ACTRT3
Acvr1	ENSMUSG00000026836	ACVR1
Acvr1b	ENSMUSG00000000532	ACVR1B
Acvr1c	ENSMUSG00000026834	ACVR1C
Acvr2a	ENSMUSG00000052155	ACVR2A
Acvr2b	ENSMUSG00000061393	ACVR2B
Acvrl1	ENSMUSG00000000530	ACVRL1
Acy1	ENSMUSG00000023262	ACY1
Acy1	ENSMUSG00000023262	ABHD14A-ACY1
Acy3	ENSMUSG00000024866	ACY3
Acyp2	ENSMUSG00000060923	ACYP2
Ada	ENSMUSG00000017697	ADA
Adad1	ENSMUSG00000027719	ADAD1
Adad2	ENSMUSG00000024266	ADAD2
Adal	ENSMUSG00000027259	ADAL
Adam10	ENSMUSG00000054693	ADAM10
Adam11	ENSMUSG00000020926	ADAM11
Adam12	ENSMUSG00000054555	ADAM12
Adam15	ENSMUSG00000028041	ADAM15
Adam17	ENSMUSG00000052593	ADAM17
Adam18	ENSMUSG00000031552	ADAM18
Adam2	ENSMUSG00000022039	ADAM2
Adam20	ENSMUSG00000046282	ADAM20
Adam21	ENSMUSG00000008438	ADAM21
Adam22	ENSMUSG00000040537	ADAM22
Adam23	ENSMUSG00000025964	ADAM23
Adam25	ENSMUSG00000071937	ADAM20
Adam28	ENSMUSG00000014725	ADAM28
Adam29	ENSMUSG00000046258	ADAM29
Adam30	ENSMUSG00000043468	ADAM30
Adam32	ENSMUSG00000037437	ADAM32
Adam33	ENSMUSG00000027318	ADAM33
Adam39	ENSMUSG00000054033	ADAM20
Adam7	ENSMUSG00000022056	ADAM7
Adam8	ENSMUSG00000025473	ADAM8
Adam9	ENSMUSG00000031555	ADAM9
Adamdec1	ENSMUSG00000022057	ADAMDEC1
Adamts1	ENSMUSG00000022893	ADAMTS1
Adamts10	ENSMUSG00000024299	ADAMTS10
Adamts12	ENSMUSG00000047497	ADAMTS12
Adamts13	ENSMUSG00000014852	ADAMTS13
Adamts14	ENSMUSG00000059901	ADAMTS14
Adamts15	ENSMUSG00000033453	ADAMTS15
Adamts16	ENSMUSG00000049538	ADAMTS16
Adamts17	ENSMUSG00000058145	ADAMTS17
Adamts18	ENSMUSG00000053399	ADAMTS18
Adamts19	ENSMUSG00000053441	ADAMTS19
Adamts2	ENSMUSG00000036545	ADAMTS2
Adamts20	ENSMUSG00000022449	ADAMTS20
Adamts3	ENSMUSG00000043635	ADAMTS3
Adamts4	ENSMUSG00000006403	ADAMTS4
Adamts5	ENSMUSG00000022894	ADAMTS5
Adamts6	ENSMUSG00000046169	ADAMTS6
Adamts7	ENSMUSG00000032363	ADAMTS7
Adamts8	ENSMUSG00000031994	ADAMTS8
Adamts9	ENSMUSG00000030022	ADAMTS9
Adamtsl1	ENSMUSG00000066113	ADAMTSL1
Adamtsl2	ENSMUSG00000036040	ADAMTSL2
Adamtsl3	ENSMUSG00000070469	ADAMTSL3
Adamtsl4	ENSMUSG00000015850	ADAMTSL4
Adamtsl5	ENSMUSG00000043822	ADAMTSL5
Adap1	ENSMUSG00000056413	ADAP1
Adap2	ENSMUSG00000020709	ADAP2
Adar	ENSMUSG00000027951	ADAR
Adarb1	ENSMUSG00000020262	ADARB1
Adarb2	ENSMUSG00000052551	ADARB2
Adat1	ENSMUSG00000031949	ADAT1
