gene_name	gene_id
KIR3DL3	ENSG00000276806
LINC01839	ENSG00000281738
LINC02054	ENSG00000281250
KIR2DS2	ENSG00000275452
KIR3DS1	ENSG00000275608
KIR2DL3	ENSG00000276218
KIR2DL4	ENSG00000277362
KIR3DL2	ENSG00000278442
KIR3DL2	ENSG00000278758
KIR2DS2	ENSG00000275253
KIR3DL2	ENSG00000275626
KIR3DL1	ENSG00000274146
KIR3DP1	ENSG00000277742
LINC00254	ENSG00000282469
KIR2DS4	ENSG00000275938
HS3ST6	ENSG00000276333
LILRP2	ENSG00000277963
KIR2DP1	ENSG00000278339
KIR2DL3	ENSG00000277317
MEIOB	ENSG00000282650
	ENSG00000276974
LILRP1	ENSG00000278325
KIR3DL1	ENSG00000278079
KIR3DL3	ENSG00000276930
LINC02124	ENSG00000282069
KIR3DL3	ENSG00000274556
	ENSG00000277551
	ENSG00000275795
KIR2DL5B	ENSG00000275937
KIR2DS2	ENSG00000277885
KIR3DL2	ENSG00000275083
KIR2DL2	ENSG00000276011
KIR3DL3	ENSG00000277552
KIR2DP1	ENSG00000275815
KIR2DL3	ENSG00000278327
KIR2DS1	ENSG00000273517
FCAR	ENSG00000275136
KIR3DL3	ENSG00000277596
KIR3DL2	ENSG00000275262
	ENSG00000275059
KIR2DL3	ENSG00000273887
	ENSG00000277271
KIR2DS5	ENSG00000274563
NCR1	ENSG00000276450
	ENSG00000275247
	ENSG00000276552
	ENSG00000277729
KIR2DS1	ENSG00000278304
	ENSG00000274106
FCAR	ENSG00000275970
KIR3DL1	ENSG00000275288
KRT18P40	ENSG00000277976
	ENSG00000279974
KIR2DP1	ENSG00000278329
KIR2DL1	ENSG00000273794
ZNF430	ENSG00000278780
	ENSG00000282429
KIR2DL3	ENSG00000274108
KIR2DL5A	ENSG00000276686
KIR2DL1	ENSG00000277356
SNTG2	ENSG00000281486
	ENSG00000280271
ZNF43	ENSG00000279566
KIR2DL4	ENSG00000278201
KIR2DP1	ENSG00000274912
	ENSG00000279614
KIR2DS4	ENSG00000276395
ZNF100	ENSG00000274746
IMPDH1P5	ENSG00000282534
ADI1	ENSG00000280830
DLG5	ENSG00000274429
	ENSG00000280579
KIR2DL1	ENSG00000276310
TRAPPC12	ENSG00000274891
NCR1	ENSG00000278025
	ENSG00000280708
	ENSG00000281416
PPIAL4F	ENSG00000275974
	ENSG00000280460
KIR3DL3	ENSG00000274786
	ENSG00000274449
CCNYL6	ENSG00000279280
	ENSG00000274708
	ENSG00000279318
	ENSG00000274574
	ENSG00000276999
RNVU1-26	ENSG00000273990
RNVU1-2A	ENSG00000273757
BRI3BPP1	ENSG00000279112
ZNF85	ENSG00000278091
VN1R84P	ENSG00000280218
MTDHP4	ENSG00000280066
	ENSG00000280770
	ENSG00000281723
KIR3DS1	ENSG00000274465
KIR3DP1	ENSG00000274610
KIR2DL4	ENSG00000277750
KIR2DL4	ENSG00000278271
KIR2DL1	ENSG00000278755
PIWIL1	ENSG00000275051
FCAR	ENSG00000275269
	ENSG00000276808
	ENSG00000278190
KIR2DL4	ENSG00000273498
	ENSG00000276324
LILRP1	ENSG00000277240
KIR2DP1	ENSG00000273955
KIR2DS4	ENSG00000274947
RNU6-222P	ENSG00000277153
SNTG2	ENSG00000281020
	ENSG00000275021
LILRP2	ENSG00000276243
OR9G4	ENSG00000262647
OR5G3	ENSG00000281107
OR9G3P	ENSG00000262268
OR5G1P	ENSG00000281313
	ENSG00000274082
	ENSG00000275168
OR5G4P	ENSG00000281279
	ENSG00000275321
OR5G5P	ENSG00000262535
BNIP3P24	ENSG00000280428
	ENSG00000280030
ZNF66	ENSG00000275050
OR9G2P	ENSG00000281777
	ENSG00000277630
OR9G1	ENSG00000261958
	ENSG00000281683
OR9G9	ENSG00000262191
LINC02735	ENSG00000281839
	ENSG00000276197
RNA5-8SN5	ENSG00000274917
	ENSG00000273730
LILRP1	ENSG00000274545
KIR2DP1	ENSG00000273522
	ENSG00000273937
KIR3DL3	ENSG00000278490
KIR3DL2	ENSG00000278726
TPO	ENSG00000277603
	ENSG00000267728
KRTAP9-2	ENSG00000263090
	ENSG00000278573
KIR3DP1	ENSG00000277560
KIR2DS4	ENSG00000276465
KIR3DL2	ENSG00000275416
	ENSG00000278625
	ENSG00000277196
KIR3DL3	ENSG00000277392
	ENSG00000278230
	ENSG00000276512
KRTAP9-4	ENSG00000262512
KRTAP9-3	ENSG00000262749
KCNQ2-AS1	ENSG00000281651
KRTAP9-10P	ENSG00000263103
KIR3DL3	ENSG00000274254
KCNQ2	ENSG00000281151
	ENSG00000267635
	ENSG00000267208
KRTAP29-1	ENSG00000262218
	ENSG00000278793
KIR3DL2	ENSG00000276882
KRTAP9-2	ENSG00000262573
KRTAP9-10P	ENSG00000263115
KRTAP9-4	ENSG00000262896
KRTAP9-6	ENSG00000263263
	ENSG00000278833
KIR3DL2	ENSG00000275629
KRTAP9-7	ENSG00000262221
KIR2DL4	ENSG00000277850
KIR2DL4	ENSG00000277076
KRTAP29-1	ENSG00000262542
KRTAP9-12P	ENSG00000262214
KRTAP9-11P	ENSG00000262946
KRTAP9-9	ENSG00000262594
	ENSG00000278277
	ENSG00000281062
	ENSG00000276994
KIR2DL2	ENSG00000278692
	ENSG00000278817
FTCD	ENSG00000281775
KIR2DS2	ENSG00000275735
LILRP1	ENSG00000273546
	ENSG00000281496
	ENSG00000275782
KIR3DL1	ENSG00000278368
ANKRD18DP	ENSG00000281617
	ENSG00000276017
	ENSG00000274971
KIR2DS4	ENSG00000275731
MREGP1	ENSG00000282329
	ENSG00000273929
	ENSG00000275428
	ENSG00000276938
	ENSG00000267237
	ENSG00000281577
	ENSG00000267639
	ENSG00000281503
RNU6-821P	ENSG00000274706
	ENSG00000278747
	ENSG00000282391
SINHCAF	ENSG00000276371
	ENSG00000282377
	ENSG00000275422
	ENSG00000282606
KIR2DL2	ENSG00000275914
SUDS3P1	ENSG00000281351
	ENSG00000281949
	ENSG00000280559
	ENSG00000282330
	ENSG00000282103
	ENSG00000281753
FTCD-AS1	ENSG00000280541
	ENSG00000277185
	ENSG00000281995
KIR2DL3	ENSG00000276459
LSS	ENSG00000281289
	ENSG00000280647
SBNO2	ENSG00000278788
	ENSG00000281942
KIR2DL1	ENSG00000278207
PROP1	ENSG00000274382
CTDP1	ENSG00000282752
	ENSG00000282347
RPS17	ENSG00000278229
KIR2DL1	ENSG00000278248
	ENSG00000282245
ERICH1	ENSG00000282665
	ENSG00000281644
	ENSG00000282480
	ENSG00000282766
	ENSG00000278666
PRB1	ENSG00000275517
KIR2DL5A	ENSG00000278116
NCR1	ENSG00000275637
	ENSG00000275500
KIR2DS1	ENSG00000276327
	ENSG00000274597
GARRE1	ENSG00000279389
	ENSG00000281914
KIR2DL4	ENSG00000275848
KIR3DL3	ENSG00000277028
	ENSG00000278140
LSM14A	ENSG00000262860
	ENSG00000281232
GOLGA6L10	ENSG00000274166
	ENSG00000281104
	ENSG00000281870
	ENSG00000280892
	ENSG00000282233
	ENSG00000280971
ZNF965P	ENSG00000282352
DLG5-AS1	ENSG00000282770
GXYLT1P1	ENSG00000282037
	ENSG00000282690
CYP4F34P	ENSG00000282782
CNN2P12	ENSG00000282611
	ENSG00000263322
KIR2DS4	ENSG00000275353
RN7SL284P	ENSG00000276516
RNU6-1266P	ENSG00000276274
KIR3DL2	ENSG00000276357
SNX18P26	ENSG00000282677
DSEL-AS1	ENSG00000282112
LINC00328-2P	ENSG00000282536
ANKRD20A9P	ENSG00000282715
DSEL	ENSG00000262102
RNU6-55P	ENSG00000278853
DNM1P38	ENSG00000282596
	ENSG00000252379
NCR1	ENSG00000277442
	ENSG00000282220
	ENSG00000282388
	ENSG00000282551
	ENSG00000279612
	ENSG00000282176
KIR3DL2	ENSG00000278809
CPEB1	ENSG00000277445
KIR2DL1	ENSG00000278495
CRIM1	ENSG00000277354
	ENSG00000262113
	ENSG00000273752
RPL21P36	ENSG00000278476
CRIM1-DT	ENSG00000279215
	ENSG00000282734
SPATC1L	ENSG00000274679
	ENSG00000281997
	ENSG00000282141
DLGAP2-AS1	ENSG00000282001
DLGAP2	ENSG00000282152
SLC45A2	ENSG00000281919
	ENSG00000281953
	ENSG00000263270
ELMO2P1	ENSG00000280500
KIR2DL5B	ENSG00000275436
GOLGA8DP	ENSG00000278070
RXFP3	ENSG00000277069
	ENSG00000277567
ADAMTS12	ENSG00000281690
	ENSG00000280679
	ENSG00000277091
KIR3DL3	ENSG00000274639
KIR3DL1	ENSG00000274920
	ENSG00000280784
GNG5P1	ENSG00000280557
	ENSG00000280765
KIR2DL1	ENSG00000276625
	ENSG00000277428
	ENSG00000278198
	ENSG00000276256
CYFIP1	ENSG00000280618
	ENSG00000280898
APOBEC3B-AS1	ENSG00000262679
	ENSG00000262536
APOBEC3A	ENSG00000262156
	ENSG00000277691
KIR2DP1	ENSG00000277375
	ENSG00000282753
KIR2DL4	ENSG00000275317
SEPTIN9-DT	ENSG00000282649
AP2A2	ENSG00000280759
	ENSG00000281254
PTCHD3	ENSG00000276595
ABCB10P1	ENSG00000281173
SEPTIN9	ENSG00000282302
GOLGA8DP	ENSG00000278508
	ENSG00000281513
	ENSG00000281081
	ENSG00000281464
FRG1-DT	ENSG00000280716
	ENSG00000281048
	ENSG00000262453
	ENSG00000281830
	ENSG00000281916
RNU1-51P	ENSG00000276052
KIR3DP1	ENSG00000275887
	ENSG00000275495
	ENSG00000281999
	ENSG00000275336
GOLGA6L22	ENSG00000274404
	ENSG00000275245
ODAD2P1	ENSG00000276777
KRTAP5-2	ENSG00000278489
	ENSG00000282044
FAM210CP	ENSG00000273681
KIR2DS4	ENSG00000276154
TRIAP1P1	ENSG00000278364
LINC02708	ENSG00000281240
KIR2DL2	ENSG00000275546
	ENSG00000273501
CNTNAP2	ENSG00000278728
FAM99B	ENSG00000281783
	ENSG00000278036
FAM99A	ENSG00000281733
	ENSG00000275225
KRTAP5-3	ENSG00000275920
KRTAP5-4	ENSG00000277068
KRTAP5-1	ENSG00000278210
KIR3DL1	ENSG00000278856
	ENSG00000281645
	ENSG00000281537
GOLGA8EP	ENSG00000278429
KRTAP5-5	ENSG00000277291
	ENSG00000282507
KRTAP5-AS1	ENSG00000281801
TUBGCP5	ENSG00000280807
	ENSG00000275671
DUSP8	ENSG00000273793
ABCB11	ENSG00000276582
	ENSG00000262892
SKA1	ENSG00000262634
GOLGA6L1	ENSG00000278247
	ENSG00000282464
	ENSG00000281703
G6PC2	ENSG00000278373
HERC2P2	ENSG00000280787
	ENSG00000278019
LRRC56	ENSG00000273831
DHX36	ENSG00000281763
	ENSG00000280619
SUDS3P1	ENSG00000274681
PROP1	ENSG00000280635
	ENSG00000281380
SMN2	ENSG00000273772
	ENSG00000276565
	ENSG00000277205
	ENSG00000274906
LINC02549	ENSG00000280737
SLC25A51P1	ENSG00000281567
ADH5P4	ENSG00000277364
	ENSG00000281737
ELMO2P1	ENSG00000281725
HERC2P7	ENSG00000281828
	ENSG00000278633
SPATA31E3P	ENSG00000281846
	ENSG00000278066
	ENSG00000281422
GOLGA8IP	ENSG00000281356
KIR2DS4	ENSG00000276209
	ENSG00000281754
	ENSG00000280490
LILRP2	ENSG00000278288
SPC25	ENSG00000277909
	ENSG00000277046
METRNL	ENSG00000275031
	ENSG00000281012
KIR3DL2	ENSG00000278656
MAPK4	ENSG00000282110
GOLGA6L1	ENSG00000275009
	ENSG00000280700
	ENSG00000276062
	ENSG00000282085
	ENSG00000282443
	ENSG00000276377
RNA5SP458	ENSG00000262132
ARHGEF26	ENSG00000277101
PHRF1	ENSG00000274780
MUC6	ENSG00000277518
ABCB10P1	ENSG00000280461
	ENSG00000276374
	ENSG00000281945
	ENSG00000278688
TUBGCP5	ENSG00000276856
TBCD	ENSG00000278759
RPS6P22	ENSG00000262159
NOSTRIN	ENSG00000275326
	ENSG00000262592
	ENSG00000262036
RPL4P5	ENSG00000263127
	ENSG00000277374
RNU6-1025P	ENSG00000274980
KIR2DS3	ENSG00000277657
ARHGEF26-AS1	ENSG00000281157
MEGF11	ENSG00000277848
	ENSG00000281425
CDH12P2	ENSG00000280638
KIR3DL3	ENSG00000275513
PMCHL2	ENSG00000280840
	ENSG00000278562
GTF2H2	ENSG00000276910
PAXBP1	ENSG00000263141
	ENSG00000281149
LINC01659	ENSG00000280986
	ENSG00000278063
ZDHHC8P1	ENSG00000281076
C21orf62	ENSG00000262938
C21orf62-AS1	ENSG00000263140
	ENSG00000274771
CES5AP1	ENSG00000280839
KRTAP5-6	ENSG00000277389
SDHAP2	ENSG00000280909
	ENSG00000280072
CYP2D8P	ENSG00000273785
	ENSG00000280629
KRTAP5-1	ENSG00000280585
KIR2DS2	ENSG00000274438
	ENSG00000281798
	ENSG00000281374
KIR2DS4	ENSG00000276254
FAM230I	ENSG00000274657
CYP2D7	ENSG00000278088
KRTAP5-4	ENSG00000278620
MUC20-OT1	ENSG00000280993
LINC02557	ENSG00000281077
KRTAP5-5	ENSG00000278302
FAM99A	ENSG00000281261
LINC02708	ENSG00000281633
GOLGA8F	ENSG00000276896
KRTAP5-AS1	ENSG00000281176
MUC20-OT1	ENSG00000281603
B3GNTL1	ENSG00000277033
	ENSG00000281111
DUSP8	ENSG00000278165
DIS3L-AS1	ENSG00000277844
	ENSG00000282280
FAM99B	ENSG00000281829
IFITM10	ENSG00000281618
MUC20-OT1	ENSG00000281915
KRTAP5-3	ENSG00000281191
KRTAP5-2	ENSG00000281533
	ENSG00000275987
	ENSG00000268674
	ENSG00000277475
HERC2P11	ENSG00000282090
	ENSG00000275405
	ENSG00000276143
	ENSG00000275855
	ENSG00000282126
GOLGA8G	ENSG00000273651
GART	ENSG00000262473
KIR2DL4	ENSG00000275456
DECR2	ENSG00000274296
RPS5P3	ENSG00000262148
DNAJC28	ENSG00000262911
KIF26B	ENSG00000281216
KIR2DS1	ENSG00000275306
IFNGR2	ENSG00000262795
KIR3DL2	ENSG00000278403
OLA1P1	ENSG00000278846
	ENSG00000280556
	ENSG00000280880
	ENSG00000281542
NDUFA6	ENSG00000277365
SNTB2	ENSG00000260873
LMNTD2	ENSG00000275873
UTP4	ENSG00000262788
	ENSG00000278411
SMDT1	ENSG00000274112
	ENSG00000280476
CYP2D6	ENSG00000275211
	ENSG00000274040
	ENSG00000281019
NKD2	ENSG00000276920
	ENSG00000273635
	ENSG00000282531
	ENSG00000276455
MUC4	ENSG00000273822
	ENSG00000281946
MIR210HG	ENSG00000282810
ABCB10P4	ENSG00000274192
	ENSG00000273969
	ENSG00000282058
CSPG4P10	ENSG00000282457
	ENSG00000282201
	ENSG00000276485
RAB11FIP3	ENSG00000275338
TMEM50B	ENSG00000263160
	ENSG00000276005
	ENSG00000282814
	ENSG00000282516
RNH1	ENSG00000276230
	ENSG00000282731
	ENSG00000282587
GOLGA6L9	ENSG00000274320
HERC2	ENSG00000277278
KIR2DS2	ENSG00000275737
	ENSG00000274801
	ENSG00000282581
	ENSG00000276767
	ENSG00000274700
KIR2DL5B	ENSG00000278481
	ENSG00000274122
TNFRSF14	ENSG00000273936
KIR2DS3	ENSG00000277163
	ENSG00000278086
	ENSG00000280865
GOLGA6L17P	ENSG00000282209
SDHAP2	ENSG00000280521
SLC12A7	ENSG00000276482
KIR2DL4	ENSG00000277540
	ENSG00000262354
	ENSG00000262579
MUC20	ENSG00000277753
	ENSG00000282755
OR2AS2P	ENSG00000280815
OR2T6	ENSG00000278659
OR2T2	ENSG00000275754
	ENSG00000282514
GOLGA2P10	ENSG00000282183
OR2T4	ENSG00000275617
OR2T7	ENSG00000281489
NDUFA6	ENSG00000272765
OR2T1	ENSG00000273508
OR2T3	ENSG00000277113
	ENSG00000280482
MUC4	ENSG00000273984
	ENSG00000281821
OR2T5	ENSG00000275102
	ENSG00000281658
TCF20	ENSG00000262024
	ENSG00000280983
MUC4	ENSG00000278303
	ENSG00000282378
SERF1B	ENSG00000277429
LINC00235	ENSG00000282485
	ENSG00000263314
CAPN15	ENSG00000282214
MUC20-OT1	ENSG00000281794
	ENSG00000274018
	ENSG00000274042
	ENSG00000281521
TCF20	ENSG00000276461
SMDT1	ENSG00000272901
UBE2Q2P6	ENSG00000276228
	ENSG00000273673
	ENSG00000273748
ADAMTS7P1	ENSG00000281976
NDUFA6-DT	ENSG00000273616
	ENSG00000273918
KIR3DP1	ENSG00000275593
	ENSG00000285263
OLA1P1	ENSG00000272813
KIR2DS4	ENSG00000274957
NDUFA6-DT	ENSG00000280811
	ENSG00000262303
NAIP	ENSG00000276068
KIR2DP1	ENSG00000278614
CYP2D7	ENSG00000263181
KIR2DL4	ENSG00000278430
UBE2Q2P2	ENSG00000282084
	ENSG00000275049
KIR3DS1	ENSG00000275037
CYP2D8P	ENSG00000262055
DRD4	ENSG00000276825
DEAF1	ENSG00000282712
TTC34	ENSG00000275571
MCCC2	ENSG00000281742
	ENSG00000281274
	ENSG00000281740
MMEL1	ENSG00000277131
IRF7	ENSG00000276561
	ENSG00000280750
NDUFA6-DT	ENSG00000280613
LILRP1	ENSG00000276307
LILRP2	ENSG00000273883
KIR2DL1	ENSG00000278821
	ENSG00000280518
	ENSG00000280821
SMDT1	ENSG00000272835
OR2W1	ENSG00000226463
BDP1	ENSG00000274803
NOP56P1	ENSG00000272603
	ENSG00000224229
	ENSG00000241408
OR14J1	ENSG00000236927
OLA1P1	ENSG00000273194
TRIM27	ENSG00000234495
NDUFA6	ENSG00000273397
OR8U9	ENSG00000281038
OR8J2	ENSG00000263150
FAM8A2P	ENSG00000281773
	ENSG00000282113
	ENSG00000281819
	ENSG00000281094
LINC00824	ENSG00000282114
OR8U8	ENSG00000262315
OR8L1P	ENSG00000280577
KIR2DP1	ENSG00000276468
MUC20	ENSG00000278114
OR5T3	ENSG00000261897
OR5T2	ENSG00000262851
ABR	ENSG00000276016
OR8K2P	ENSG00000280617
CYP2D6	ENSG00000272532
OR8I1P	ENSG00000280712
	ENSG00000278432
KIR2DL2	ENSG00000276731
OR8K3	ENSG00000262755
LILRA4	ENSG00000276798
OR8H1	ENSG00000262611
LILRP1	ENSG00000277894
KIR2DP1	ENSG00000276279
OR5T1	ENSG00000262784
RPL5P29	ENSG00000281820
KIR2DL5A	ENSG00000276177
KIR3DL3	ENSG00000274394
OR8K1	ENSG00000263328
	ENSG00000261905
HRAS	ENSG00000276536
OR8J1	ENSG00000262796
CLK2	ENSG00000261893
KIR3DL2	ENSG00000278361
MUC4	ENSG00000278468
LAIR1	ENSG00000276163
KIR3DL2	ENSG00000277709
KIR3DL3	ENSG00000276875
HCG14	ENSG00000234411
RPL13P	ENSG00000272613
	ENSG00000272793
LILRP2	ENSG00000273666
	ENSG00000280609
ZNF311	ENSG00000225351
	ENSG00000281225
MMEL1-AS1	ENSG00000280645
	ENSG00000281417
PSMB1	ENSG00000281184
PANK4	ENSG00000273494
KIR3DP1	ENSG00000278691
	ENSG00000272000
	ENSG00000280722
	ENSG00000281761
FAM120B	ENSG00000275333
KIR2DL1	ENSG00000275522
	ENSG00000275921
LMNTD2-AS1	ENSG00000282005
LINC01623	ENSG00000272857
	ENSG00000274623
LINC01015	ENSG00000235788
RASSF7	ENSG00000273859
OR2B3	ENSG00000233054
	ENSG00000228147
LST1	ENSG00000235915
PKLR	ENSG00000262785
SMN1	ENSG00000275349
KIR3DL1	ENSG00000277175
CDHR5	ENSG00000273572
TARM1	ENSG00000276145
MBOAT7	ENSG00000277025
CNOT3	ENSG00000276082
KIR2DL3	ENSG00000275658
MTX1P1	ENSG00000263037
	ENSG00000262734
LILRB2	ENSG00000274513
PLCH2	ENSG00000276429
SCAMP3	ENSG00000263290
KIR2DS1	ENSG00000276387
	ENSG00000281650
LINC02197	ENSG00000281321
DLL1	ENSG00000275555
	ENSG00000285240
	ENSG00000281210
AADACL2	ENSG00000261846
SERF1A	ENSG00000275581
LINC02066	ENSG00000262411
LINC01624	ENSG00000280592
AADACL2-AS1	ENSG00000262466
	ENSG00000280883
RDH13	ENSG00000273944
TSEN34	ENSG00000274672
